State,Year,GDP 
Alabama,1999,3.6
Alabama,2000,1.5
Alabama,2001,0.2
Alabama,2002,2.3
Alabama,2003,2.9
Alabama,2004,7
Alabama,2005,4.4
Alabama,2006,1.6
Alabama,2007,0.9
Alabama,2008,1.1
Alabama,2009,3.3
Alabama,2010,2.2
Alabama,2011,1.6
Alabama,2012,0.9
Alabama,2013,1.1
Alabama,2014,0.8
Alabama,2015,0.8
Alabama,2016,1.5
Alabama,2017,1.4
Alabama,2018,1.7
Alabama,2019,1.5
Alabama,2020,1.7
Alabama,2021,5.1
Alaska,1999,1.2
Alaska,2000,2.9
Alaska,2001,3.9
Alaska,2002,4.9
Alaska,2003,1.5
Alaska,2004,4
Alaska,2005,3.6
Alaska,2006,7.7
Alaska,2007,5.1
Alaska,2008,0.9
Alaska,2009,9.7
Alaska,2010,2.9
Alaska,2011,1.2
Alaska,2012,5.4
Alaska,2013,5
Alaska,2014,2.1
Alaska,2015,1
Alaska,2016,0.9
Alaska,2017,0.1
Alaska,2018,1.8
Alaska,2019,0.2
Alaska,2020,5.1
Alaska,2021,0.3
Arizona,1999,8.5
Arizona,2000,4.9
Arizona,2001,2.3
Arizona,2002,3.5
Arizona,2003,6.1
Arizona,2004,4.4
Arizona,2005,7.4
Arizona,2006,4.5
Arizona,2007,3.3
Arizona,2008,0.9
Arizona,2009,8.3
Arizona,2010,1.1
Arizona,2011,2.2
Arizona,2012,2
Arizona,2013,0.8
Arizona,2014,1.3
Arizona,2015,2
Arizona,2016,3.1
Arizona,2017,4.2
Arizona,2018,3.7
Arizona,2019,3.4
Arizona,2020,0.5
Arizona,2021,6.3
Arkansas,1999,5.4
Arkansas,2000,0.8
Arkansas,2001,0.1
Arkansas,2002,3.5
Arkansas,2003,4.3
Arkansas,2004,4.9
Arkansas,2005,4.2
Arkansas,2006,2.3
Arkansas,2007,0.8
Arkansas,2008,1
Arkansas,2009,3.3
Arkansas,2010,2.6
Arkansas,2011,2.1
Arkansas,2012,0.5
Arkansas,2013,2.1
Arkansas,2014,0.9
Arkansas,2015,0.6
Arkansas,2016,0.4
Arkansas,2017,0.9
Arkansas,2018,1.8
Arkansas,2019,1.1
Arkansas,2020,0.1
Arkansas,2021,5.2
California,1999,7.2
California,2000,7.7
California,2001,0.2
California,2002,1.8
California,2003,3.9
California,2004,3.4
California,2005,4.1
California,2006,3.9
California,2007,1.9
California,2008,1
California,2009,3.2
California,2010,2
California,2011,1.4
California,2012,2.4
California,2013,3.1
California,2014,3.5
California,2015,4.5
California,2016,3
California,2017,4.5
California,2018,4.2
California,2019,3.2
California,2020,2.3
California,2021,7.8
Colorado,1999,7.3
Colorado,2000,7.6
Colorado,2001,1.5
Colorado,2002,0.2
Colorado,2003,1
Colorado,2004,1.2
Colorado,2005,4.5
Colorado,2006,2.3
Colorado,2007,3.7
Colorado,2008,1.5
Colorado,2009,2.2
Colorado,2010,1.1
Colorado,2011,1.4
Colorado,2012,1.9
Colorado,2013,3.4
Colorado,2014,4.3
Colorado,2015,4.6
Colorado,2016,2.1
Colorado,2017,3.4
Colorado,2018,3.9
Colorado,2019,4.6
Colorado,2020,1.4
Colorado,2021,5.8
Connecticut,1999,3
Connecticut,2000,6.8
Connecticut,2001,0.9
Connecticut,2002,0.7
Connecticut,2003,1.2
Connecticut,2004,6.5
Connecticut,2005,2.2
Connecticut,2006,4.1
Connecticut,2007,3.9
Connecticut,2008,0.1
Connecticut,2009,5
Connecticut,2010,0.2
Connecticut,2011,2.4
Connecticut,2012,1
Connecticut,2013,2
Connecticut,2014,0.1
Connecticut,2015,2.9
Connecticut,2016,0.2
Connecticut,2017,1.5
Connecticut,2018,0.8
Connecticut,2019,1
Connecticut,2020,6.5
Connecticut,2021,4.8
Delaware,1999,7.5
Delaware,2000,4.3
Delaware,2001,3.2
Delaware,2002,3.1
Delaware,2003,1.4
Delaware,2004,4.8
Delaware,2005,1.2
Delaware,2006,2.2
Delaware,2007,0.2
Delaware,2008,3
Delaware,2009,4.9
Delaware,2010,1.5
Delaware,2011,3.9
Delaware,2012,0.9
Delaware,2013,3.4
Delaware,2014,7.8
Delaware,2015,2.9
Delaware,2016,5.7
Delaware,2017,4.2
Delaware,2018,1.8
Delaware,2019,4.4
Delaware,2020,2.9
Delaware,2021,3.4
District of Columbia,1999,4.4
District of Columbia,2000,0.7
District of Columbia,2001,3.6
District of Columbia,2002,3.1
District of Columbia,2003,2
District of Columbia,2004,4.9
District of Columbia,2005,2.1
District of Columbia,2006,0.3
District of Columbia,2007,2.9
District of Columbia,2008,3.9
District of Columbia,2009,0.8
District of Columbia,2010,3.9
District of Columbia,2011,1.5
District of Columbia,2012,0.5
District of Columbia,2013,0.2
District of Columbia,2014,2
District of Columbia,2015,2
District of Columbia,2016,2.4
District of Columbia,2017,0.9
District of Columbia,2018,2.4
District of Columbia,2019,0.7
District of Columbia,2020,1.7
District of Columbia,2021,3.7
Florida,1999,4.6
Florida,2000,4.5
Florida,2001,2.8
Florida,2002,4.4
Florida,2003,4.7
Florida,2004,6.5
Florida,2005,6.1
Florida,2006,3
Florida,2007,1.2
Florida,2008,4
Florida,2009,5.8
Florida,2010,0.8
Florida,2011,0.4
Florida,2012,0.8
Florida,2013,2.1
Florida,2014,2.8
Florida,2015,4.3
Florida,2016,3.4
Florida,2017,3.5
Florida,2018,3.2
Florida,2019,2.6
Florida,2020,1.6
Florida,2021,8.4
Georgia,1999,7
Georgia,2000,3.3
Georgia,2001,1.2
Georgia,2002,1.3
Georgia,2003,3.1
Georgia,2004,4.1
Georgia,2005,4.3
Georgia,2006,1.3
Georgia,2007,0.6
Georgia,2008,2.2
Georgia,2009,3.8
Georgia,2010,1.2
Georgia,2011,1.8
Georgia,2012,1.4
Georgia,2013,1.6
Georgia,2014,3.3
Georgia,2015,4.1
Georgia,2016,3.6
Georgia,2017,3.4
Georgia,2018,2.8
Georgia,2019,3.5
Georgia,2020,3.5
Georgia,2021,7
Hawaii,1999,0.8
Hawaii,2000,1.9
Hawaii,2001,0.4
Hawaii,2002,2.4
Hawaii,2003,5.2
Hawaii,2004,5.6
Hawaii,2005,6
Hawaii,2006,2.4
Hawaii,2007,1.9
Hawaii,2008,0.5
Hawaii,2009,3.6
Hawaii,2010,2.5
Hawaii,2011,1.5
Hawaii,2012,1.8
Hawaii,2013,1.6
Hawaii,2014,0.6
Hawaii,2015,3.2
Hawaii,2016,1.9
Hawaii,2017,2.1
Hawaii,2018,1.1
Hawaii,2019,0.8
Hawaii,2020,11.5
Hawaii,2021,6.3
Idaho,1999,9.6
Idaho,2000,11.3
Idaho,2001,2.6
Idaho,2002,2.1
Idaho,2003,3.3
Idaho,2004,6.6
Idaho,2005,8.2
Idaho,2006,2.8
Idaho,2007,1.8
Idaho,2008,2.8
Idaho,2009,4.9
Idaho,2010,1.7
Idaho,2011,0.1
Idaho,2012,0.2
Idaho,2013,4
Idaho,2014,3
Idaho,2015,1
