State,Year,GDP 
AL,1999,3.6
AL,2000,1.5
AL,2001,0.2
AL,2002,2.3
AL,2003,2.9
AL,2004,7.0
AL,2005,4.4
AL,2006,1.6
AL,2007,0.9
AL,2008,1.1
AL,2009,3.3
AL,2010,2.2
AL,2011,1.6
AL,2012,0.9
AL,2013,1.1
AL,2014,0.8
AL,2015,0.8
AL,2016,1.5
AL,2017,1.4
AL,2018,1.7
AL,2019,1.5
AL,2020,1.7
AL,2021,5.1
AK,1999,1.2
AK,2000,2.9
AK,2001,3.9
AK,2002,4.9
AK,2003,1.5
AK,2004,4.0
AK,2005,3.6
AK,2006,7.7
AK,2007,5.1
AK,2008,0.9
AK,2009,9.7
AK,2010,2.9
AK,2011,1.2
AK,2012,5.4
AK,2013,5.0
AK,2014,2.1
AK,2015,1.0
AK,2016,0.9
AK,2017,0.1
AK,2018,1.8
AK,2019,0.2
AK,2020,5.1
AK,2021,0.3
AZ,1999,8.5
AZ,2000,4.9
AZ,2001,2.3
AZ,2002,3.5
AZ,2003,6.1
AZ,2004,4.4
AZ,2005,7.4
AZ,2006,4.5
AZ,2007,3.3
AZ,2008,0.9
AZ,2009,8.3
AZ,2010,1.1
AZ,2011,2.2
AZ,2012,2.0
AZ,2013,0.8
AZ,2014,1.3
AZ,2015,2.0
AZ,2016,3.1
AZ,2017,4.2
AZ,2018,3.7
AZ,2019,3.4
AZ,2020,0.5
AZ,2021,6.3
AR,1999,5.4
AR,2000,0.8
AR,2001,0.1
AR,2002,3.5
AR,2003,4.3
AR,2004,4.9
AR,2005,4.2
AR,2006,2.3
AR,2007,0.8
AR,2008,1.0
AR,2009,3.3
AR,2010,2.6
AR,2011,2.1
AR,2012,0.5
AR,2013,2.1
AR,2014,0.9
AR,2015,0.6
AR,2016,0.4
AR,2017,0.9
AR,2018,1.8
AR,2019,1.1
AR,2020,0.1
AR,2021,5.2
CA,1999,7.2
CA,2000,7.7
CA,2001,0.2
CA,2002,1.8
CA,2003,3.9
CA,2004,3.4
CA,2005,4.1
CA,2006,3.9
